WBID,name,type,OC,OC_num,MC,MC_num,RBD,RBD_num
GB102076074020,Old Water,River,Esk and Irthing,3178,Eden and Esk,3036,Solway Tweed,2
GB102076074090,Hazel Gill (River Irthing),River,Esk and Irthing,3178,Eden and Esk,3036,Solway Tweed,2
GB102077074290,Black Lyne (upper),River,Esk and Irthing,3178,Eden and Esk,3036,Solway Tweed,2
GB102077074220,Kirk Beck,River,Esk and Irthing,3178,Eden and Esk,3036,Solway Tweed,2
GB30228476,Castle Carrock Reservoir,Lake,Esk and Irthing,3178,Eden and Esk,3036,Solway Tweed,2
GB102076074110,Tarn Beck (River Irthing),River,Esk and Irthing,3178,Eden and Esk,3036,Solway Tweed,2
GB102077074270,White Lyne u/s Bewastle,River,Esk and Irthing,3178,Eden and Esk,3036,Solway Tweed,2
GB102077074180,Gaitle/Beck Burn,River,Esk and Irthing,3178,Eden and Esk,3036,Solway Tweed,2
GB102076073982,Irthing US Crammel Linn Waterfall,River,Esk and Irthing,3178,Eden and Esk,3036,Solway Tweed,2
GB102077074260,Glenzier Burn,River,Esk and Irthing,3178,Eden and Esk,3036,Solway Tweed,2
GB102077074250,Black Lyne,River,Esk and Irthing,3178,Eden and Esk,3036,Solway Tweed,2
GB102076074050,Quarry Beck,River,Esk and Irthing,3178,Eden and Esk,3036,Solway Tweed,2
GB102076074070,Butter Burn,River,Esk and Irthing,3178,Eden and Esk,3036,Solway Tweed,2
GB102077074160,Dry Beck (Hall Burn),River,Esk and Irthing,3178,Eden and Esk,3036,Solway Tweed,2
GB102077074150,Hether Burn,River,Esk and Irthing,3178,Eden and Esk,3036,Solway Tweed,2
GB102077074240,Rae Burn,River,Esk and Irthing,3178,Eden and Esk,3036,Solway Tweed,2
GB102077074280,Bailey Water,River,Esk and Irthing,3178,Eden and Esk,3036,Solway Tweed,2
GB102076073740,Whelpo (Cald) Beck,River,Caldew,3063,Eden and Esk,3036,Solway Tweed,2
GB102076073760,Ive,River,Caldew,3063,Eden and Esk,3036,Solway Tweed,2
GB102076073880,Caldew d/s Caldbeck,River,Caldew,3063,Eden and Esk,3036,Solway Tweed,2
GB102076073770,Roe Beck (Lower),River,Caldew,3063,Eden and Esk,3036,Solway Tweed,2
GB102076073710,Caldew (upper),River,Caldew,3063,Eden and Esk,3036,Solway Tweed,2
GB102076073720,Gillcambon Beck,River,Caldew,3063,Eden and Esk,3036,Solway Tweed,2
GB102076073750,Roe Beck (Upper),River,Caldew,3063,Eden and Esk,3036,Solway Tweed,2
GB102076073780,Pow Beck (Eden and Esk),River,Caldew,3063,Eden and Esk,3036,Solway Tweed,2
GB102076073730,Caldew (Hesket Newmarket),River,Caldew,3063,Eden and Esk,3036,Solway Tweed,2
GB102076070760,Swindale Beck (Brough),River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070840,Lyvennet,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070650,Swindale Beck Great Musgrave,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070910,Burthwaite Beck,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070930,Trout Beck,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070710,Helm Beck,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070640,Scale Beck,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070630,Hoff Beck (upper),River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070880,Eden - Scandal Beck to Lyvennet,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070850,Trout Beck (Murton),River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076071000,Milburn Beck,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070900,Leith,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070600,Scandal Beck,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070830,Morland Beck,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070590,Eden - headwaters to Scandal Beck,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076073790,Crowdundle Beck - Upper,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070790,Blind Beck,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070980,Eden Lyvennet to Eamont,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070610,Belah (upper),River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070950,Crowdundle Beck - Lower,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070860,Trout Beck (Kirkby Thore),River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070750,Low Gill (Crooks Beck),River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070770,Hilton Beck,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070660,Argill Beck,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070620,Belah (lower),River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070730,Augill Beck,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070960,Swindale Beck nr Dufton,River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070820,Hoff Beck (lower),River,Eden Upper,3166,Eden and Esk,3036,Solway Tweed,2
GB102076070890,Dacre Beck us Skitwath Beck,River,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB102076070560,Howe Grain,River,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB102076070690,Lowther (Upper),River,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB102076070580,Aira Beck,River,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB30229129,Grisedale Tarn,Lake,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB30229073,Haweswater Reservoir,Lake,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB102076070670,Swindale Beck (Lowther),River,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB102076070740,Glenridding Beck,River,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB102076070970,Skitwath Beck,River,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB102076071020,Eamont (Upper),River,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB30229083,Red Tarn Helvellyn,Lake,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB102076070700,Goldrill Beck,River,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB30229116,Brothers Water,Lake,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB102076070990,Eamont (Lower),River,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB102076071010,Lowther (Lower),River,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB102076070940,Dacre Beck (Lower),River,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB30228955,Ullswater,Lake,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB102076070680,Grisedale Beck,River,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB30229125,Hayeswater,Lake,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB102076070720,Haweswater Beck,River,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB30229146,Blea Water,Lake,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB102076071021,Fusedale Beck,River,Eamont,3155,Eden and Esk,3036,Solway Tweed,2
GB102021073070,Horncliffe Mill Burn,River,River Tweed,3380,Tweed,3102,Solway Tweed,2
GB102021073010,Willow Burn Catchment (Trib of Tweed),River,River Tweed,3380,Tweed,3102,Solway Tweed,2
GB102021073060,Newbiggin Dean Catch (trib of Tweed),River,River Tweed,3380,Tweed,3102,Solway Tweed,2
GB510302203200,BLYTH (N),Transitional,Blyth Estuary,3037,Northumbria TraC,3068,Northumbria,3
GB510302310200,TYNE,Transitional,Tyne Lower and Estuary TraC,3479,Northumbria TraC,3068,Northumbria,3
GB510302203000,COQUET,Transitional,Coquet Lower Estuary,3106,Northumbria TraC,3068,Northumbria,3
GB510302210100,WANSBECK,Transitional,Wansbeck Estuary,3516,Northumbria TraC,3068,Northumbria,3
GB650301600000,Hadston Links and Cresswell Ponds,Coastal,Hadston Links and Cresswell Ponds,3215,Northumbria TraC,3068,Northumbria,3
GB510302203300,ALN,Transitional,Aln Estuary,3007,Northumbria TraC,3068,Northumbria,3
GB620301100000,Farne Islands to Newton Haven,Coastal,Farne Islands to Newton Haven,3186,Northumbria TraC,3068,Northumbria,3
