WBID,name,type,OC,OC_num,MC,MC_num,RBD,RBD_num
GB103025072512,Tees from Percy Beck to River Greta,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072560,Gill Beck from Source to Greta,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072090,Sleightholme Beck from Source to Greta,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072270,Sudburn Beck from Source to Langley Beck,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072060,Aldbrough Beck from Forcett Park Catch to Clow Bk,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB30329022,Lovell Hill Pools,Lake,Saltburn Coast,3388,Tees,3093,Northumbria,3
GB103025071920,Kilton Beck from Source to Middle Gill Beck,River,Saltburn Coast,3388,Tees,3093,Northumbria,3
GB103025071900,Mill Beck from Source to Kilton Beck,River,Saltburn Coast,3388,Tees,3093,Northumbria,3
GB103025071940,Middle Gill Beck from Source to Kilton Beck,River,Saltburn Coast,3388,Tees,3093,Northumbria,3
GB103025071970,Skelton Beck Catch (Saltburn) trib of North Sea,River,Saltburn Coast,3388,Tees,3093,Northumbria,3
GB103025071960,Saltburn Gill Catch trib of North Sea,River,Saltburn Coast,3388,Tees,3093,Northumbria,3
GB30329099,Lockwood Beck Reservoir,Lake,Saltburn Coast,3388,Tees,3093,Northumbria,3
GB103025071950,Kilton Beck from Middle Gill Beck to North Sea,River,Saltburn Coast,3388,Tees,3093,Northumbria,3
GB103025072520,Carrs from Source to Skerne,River,Skerne,3406,Tees,3093,Northumbria,3
GB103025072290,Dene Beck Catchment (trib of Skerne),River,Skerne,3406,Tees,3093,Northumbria,3
GB103025072370,Woodham Burn from Rushyford Beck to the Skerne,River,Skerne,3406,Tees,3093,Northumbria,3
GB103025072260,Upper Cocker Beck Catchment (trib of Skerne),River,Skerne,3406,Tees,3093,Northumbria,3
GB103025072391,Skerne form Woodham Burn to Demons Beck,River,Skerne,3406,Tees,3093,Northumbria,3
GB103025072430,Skerne from Carrs to Woodham Burn,River,Skerne,3406,Tees,3093,Northumbria,3
GB103025072450,Rushyford Beck from Source to Woodham Burn,River,Skerne,3406,Tees,3093,Northumbria,3
GB103025072400,Woodham Burn from Source to Rushyford beck,River,Skerne,3406,Tees,3093,Northumbria,3
GB30328825,Hurworth Burn Reservoir,Lake,Skerne,3406,Tees,3093,Northumbria,3
GB103025076070,Skerne from Source to Carrs,River,Skerne,3406,Tees,3093,Northumbria,3
GB30329148,Hell Kettles,Lake,Skerne,3406,Tees,3093,Northumbria,3
GB103025072596,Skerne from Demons Beck to Tees,River,Skerne,3406,Tees,3093,Northumbria,3
GB103025071850,Potto Beck Catchment (trib of Leven),River,Leven Northumbria,3252,Tees,3093,Northumbria,3
GB103025071870,Broughton Beck from Source to River Leven,River,Leven Northumbria,3252,Tees,3093,Northumbria,3
GB103025071880,Leven from Tame to River Tees,River,Leven Northumbria,3252,Tees,3093,Northumbria,3
GB103025071910,Tame from Source to Leven,River,Leven Northumbria,3252,Tees,3093,Northumbria,3
GB103025071860,Grange Beck Catchment (trib of Leven),River,Leven Northumbria,3252,Tees,3093,Northumbria,3
GB103025071890,Leven from Source to Tame,River,Leven Northumbria,3252,Tees,3093,Northumbria,3
GB103025072500,Bowlees Beck Catchment (trib of Tees),River,Tees Upper,3448,Tees,3093,Northumbria,3
GB103025072490,Eggleston Burn Catchment (trib of Tees),River,Tees Upper,3448,Tees,3093,Northumbria,3
GB30329011,Hury Reservoir,Lake,Tees Upper,3448,Tees,3093,Northumbria,3
GB103025072511,Tees from Maize Beck to Percy Beck,River,Tees Upper,3448,Tees,3093,Northumbria,3
GB30328995,Selset Reservoir,Lake,Tees Upper,3448,Tees,3093,Northumbria,3
